© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
Cellular Assembly and Organization, Cellular Compromise, Cellular Function and Maintenance	disruption	Disruption of microtubules	1.95E-02	 	 	 	 	STMN2	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Nervous System Development and Function	fusion	Fusion of synaptic vesicles	1.95E-02	 	 	 	 	GAD2	1	
Cancer, Cardiovascular Disease, Organismal Injury and Abnormalities	hemangioma	Hemangioma	1.98E-02	 	 	 	 	STMN2,LRP1B	2	
Digestive System Development and Function, Embryonic Development, Organ Development, Organismal Development	development	Tooth development	2.08E-02	 	 	 	 	DLX5,BCL11B	2	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of ala temporali	2.08E-02	 	 	 	 	DLX5	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR G719X mutation positive squamous cell lung carcinoma	Advanced EGFR G719X mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR L858R mutation positive squamous cell lung carcinoma	Advanced EGFR L858R mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR S768I mutation positive squamous cell lung carcinoma	Advanced EGFR S768I mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 deletion positive squamous cell lung carcinoma	Advanced EGFR exon 19 deletion positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cell Signaling, Molecular Transport, Vitamin and Mineral Metabolism	depletion	Depletion of Ca2+	2.08E-02	 	 	 	 	HERPUD1	1	
Cardiovascular Disease, Organismal Injury and Abnormalities, Reproductive System Disease	early-onset preeclampsia	Early-onset preeclampsia	2.08E-02	 	 	 	 	TAC3	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR G719X mutation positive squamous cell lung carcinoma	Metastatic progressive EGFR G719X mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR L858R mutation positive squamous cell lung carcinoma	Metastatic progressive EGFR L858R mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR S768I mutation positive squamous cell lung carcinoma	Metastatic progressive EGFR S768I mutation positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR exon 19 deletion positive squamous cell lung carcinoma	Metastatic progressive EGFR exon 19 deletion positive squamous cell lung carcinoma	2.08E-02	 	 	 	 	DDR2	1	
Infectious Diseases	replication	Replication of Sendai virus	2.08E-02	 	 	 	 	HERPUD1	1	
Infectious Diseases	toxoplasmosis	Toxoplasmosis	2.08E-02	 	 	 	 	GAD2	1	
Neurological Disease, Organismal Injury and Abnormalities	walking disability	Walking disability	2.08E-02	 	 	 	 	KCND3	1	
Cellular Function and Maintenance	ion homeostasis	Ion homeostasis of cells	2.14E-02	 	 	 	 	NEAT1,LRP1,SCGN,HERPUD1	4	
Cardiovascular Disease, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	cerebral amyloid angiopathy	Cerebral amyloid angiopathy	2.21E-02	 	 	 	 	LRP1	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	clearance	Clearance of triacylglycerol	2.21E-02	 	 	 	 	LRP1	1	
Cardiovascular Disease, Neurological Disease, Ophthalmic Disease	nonarteritic ischemic optic neuropathy	Nonarteritic ischemic optic neuropathy	2.21E-02	 	 	 	 	KCND3	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR G719X mutation positive lung adenocarcinoma	Advanced EGFR G719X mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR L861Q mutation positive lung adenocarcinoma	Advanced EGFR L861Q mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	EGFR S768I mutation positive large cell carcinoma	Advanced EGFR S768I mutation positive large cell carcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR S768I mutation positive lung adenocarcinoma	Advanced EGFR S768I mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 insertion positive adenocarcinoma of lung	Advanced EGFR exon 19 insertion positive adenocarcinoma of lung	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 21 L858R activating mutation positive lung adenocarcinoma	Advanced EGFR exon 21 L858R activating mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	progressive EGFR mutation positive non-small cell lung cancer	Advanced progressive EGFR mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR G719X mutation positive non-small cell lung cancer	Advanced stage EGFR G719X mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR L861Q mutation positive non-small cell lung cancer	Advanced stage EGFR L861Q mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR S768I mutation positive non-small cell lung cancer	Advanced stage EGFR S768I mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 insertion positive non-small cell lung cancer	Advanced stage EGFR exon 19 insertion positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cell-To-Cell Signaling and Interaction, Connective Tissue Development and Function	attachment	Attachment of fibroblasts	2.34E-02	 	 	 	 	LRP1	1	
Cellular Assembly and Organization, Cellular Compromise, Cellular Function and Maintenance	destabilization	Destabilization of microtubules	2.34E-02	 	 	 	 	STMN2	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of interneurons	2.34E-02	 	 	 	 	DLX5	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR L861Q mutation positive lung adenocarcinoma	Metastatic EGFR L861Q mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR L861Q mutation positive non-small cell lung cancer	Metastatic EGFR L861Q mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 insertion positive adenocarcinoma of lung	Metastatic EGFR exon 19 insertion positive adenocarcinoma of lung	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 insertion positive non-small cell lung cancer	Metastatic EGFR exon 19 insertion positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR G719X mutation positive lung adenocarcinoma	Metastatic progressive EGFR G719X mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR G719X mutation positive non-small cell lung cancer	Metastatic progressive EGFR G719X mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	EGFR S768I mutation positive large cell carcinoma	Metastatic progressive EGFR S768I mutation positive large cell carcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR S768I mutation positive lung adenocarcinoma	Metastatic progressive EGFR S768I mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR S768I mutation positive non-small cell lung cancer	Metastatic progressive EGFR S768I mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	EGFR exon 19 deletion positive large cell carcinoma	Metastatic progressive EGFR exon 19 deletion positive large cell carcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR exon 19 deletion positive non-small cell lung cancer	Metastatic progressive EGFR exon 19 deletion positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR exon 21 L858R activating mutation positive lung adenocarcinoma	Metastatic progressive EGFR exon 21 L858R activating mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	pigmented villonodular synovitis	Pigmented villonodular synovitis	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR L861Q mutation positive lung adenocarcinoma	Progressive EGFR L861Q mutation positive lung adenocarcinoma	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR L861Q mutation positive non-small cell lung cancer	Progressive EGFR L861Q mutation positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR exon 19 insertion positive adenocarcinoma of lung	Progressive EGFR exon 19 insertion positive adenocarcinoma of lung	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease, Tumor Morphology	EGFR exon 19 insertion positive non-small cell lung cancer	Progressive EGFR exon 19 insertion positive non-small cell lung cancer	2.34E-02	 	 	 	 	DDR2	1	
Cancer, Inflammatory Response, Organismal Injury and Abnormalities, Tumor Morphology	rejection	Rejection of tumor	2.34E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities	extracranial solid tumor	Advanced extracranial solid tumor	2.37E-02	 	 	 	 	STMN2,PDZRN3,GAD2,DDR2	4	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	carcinoma	Lung carcinoma	2.39E-02	 	 	 	 	DLX6-AS1,H2BC10,DLX6,SLC7A3,NUPR1,GAD2,LRP1,LRP1B,DDR2	9	
Psychological Disorders	major affective disorder	Major affective disorder	2.41E-02	 	 	 	 	NUPR1,TIAM1,GAD2	3	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	aggressive mature B-cell lymphoma	Aggressive mature B-cell lymphoma	2.46E-02	 	 	 	 	BCL11B,PDZRN3,LRP1B	3	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of rostral migratory stream	2.46E-02	 	 	 	 	DLX5	1	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	EGFR exon 19 deletion positive non-small cell lung cancer	Advanced EGFR exon 19 deletion positive non-small cell lung cancer	2.46E-02	 	 	 	 	DDR2	1	
Cell Cycle	cell cycle progression	Arrest in cell cycle progression of lymphoma cell lines	2.46E-02	 	 	 	 	BCL11B	1	
Cell-To-Cell Signaling and Interaction	binding	Binding of neuroblastoma cell lines	2.46E-02	 	 	 	 	LRP1	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	migration	Migration of peripheral blood neutrophils	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Ph positive chronic myeloid leukemia in chronic phase	Newly diagnosed Ph positive chronic myeloid leukemia in chronic phase	2.46E-02	 	 	 	 	DDR2	1	
Cell Morphology, Cellular Assembly and Organization, Cellular Function and Maintenance	permeability	Permeability of mitochondrial membrane	2.46E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	unresectable gastrointestinal stromal tumor	Progressed unresectable gastrointestinal stromal tumor	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	recurrent sarcoma	Progressive recurrent sarcoma	2.46E-02	 	 	 	 	DDR2	1	
Cell Morphology, Cellular Assembly and Organization, Nervous System Development and Function	projection	Projection of axons	2.46E-02	 	 	 	 	BCL11B	1	
Hair and Skin Development and Function, Organismal Injury and Abnormalities	re-epithelialization	Re-epithelialization of wound	2.46E-02	 	 	 	 	TIAM1	1	
Cancer, Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	chordoma	Recurrent chordoma	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	mucinous adenocarcinoma of colon	Stage IV mucinous adenocarcinoma of colon	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	mucinous adenocarcinoma of rectum	Stage IV mucinous adenocarcinoma of rectum	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	colon adenocarcinoma	Stage IV primary colon adenocarcinoma	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	primary colorectal adenocarcinoma	Stage IV primary colorectal adenocarcinoma	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	rectal adenocarcinoma	Stage IV primary rectal adenocarcinoma	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	type I enteropathy-associated T-cell lymphoma	Type I enteropathy-associated T-cell lymphoma	2.46E-02	 	 	 	 	BCL11B	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	undifferentiated gastric carcinoma	Undifferentiated gastric carcinoma	2.46E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities	subcutaneous tumor	Subcutaneous tumor	2.47E-02	 	 	 	 	SLC7A3,NUPR1,DDR2	3	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	familial encephalopathy	Familial encephalopathy	2.49E-02	 	 	 	 	BCL11B,GAD2,TIAM1,KCND3,HERPUD1,TAC3	6	
Auditory Disease, Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of external ear	2.59E-02	 	 	 	 	DLX5	1	
Behavior	aggressive behavior toward males	Aggressive behavior toward males	2.59E-02	 	 	 	 	GAD2	1	
Cellular Growth and Proliferation	cytostasis	Cytostasis of leukemia cell lines	2.59E-02	 	 	 	 	BCL11B	1	
Molecular Transport	import	Import of K+	2.59E-02	 	 	 	 	KCND3	1	
Cellular Movement	invasion	Invasion of thyroid tumor cell lines	2.59E-02	 	 	 	 	LRP1	1	
Cellular Movement	migration	Migration of thyroid tumor cell lines	2.59E-02	 	 	 	 	LRP1	1	
Organismal Injury and Abnormalities, Renal and Urological Disease	minimal change nephrotic syndrome	Minimal change nephrotic syndrome	2.59E-02	 	 	 	 	GAD2	1	
Inflammatory Disease, Neurological Disease, Skeletal and Muscular Disorders	primary progressive multiple sclerosis	Primary progressive multiple sclerosis	2.59E-02	 	 	 	 	KCND3	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities, Tumor Morphology	gliosarcoma	Progressive gliosarcoma	2.59E-02	 	 	 	 	DDR2	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	gliosarcoma	Recurrent gliosarcoma	2.59E-02	 	 	 	 	DDR2	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	colorectal neoplasia	Colorectal tumor	2.70E-02	 	 	 	 	BCL11B,NEAT1,H1-5,LRP1B,STMN2,DLX6,FAM155A,SLC7A3,PDZRN3,GAD2,LRP1,NUDT11,KCND3,C5orf30,DDR2	15	
Auditory Disease, Auditory and Vestibular System Development and Function, Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of malleus	2.72E-02	 	 	 	 	DLX5	1	
Hematological System Development and Function, Immunological Disease, Lymphoid Tissue Structure and Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Tissue Morphology	abnormal morphology	Abnormal morphology of thymus cortex	2.72E-02	 	 	 	 	BCL11B	1	
Cardiovascular Disease, Gastrointestinal Disease, Hematological Disease, Hepatic System Disease, Organismal Injury and Abnormalities	Budd-Chiari syndrome	Budd-Chiari syndrome	2.72E-02	 	 	 	 	STMN2	1	
Behavior	coping response	Coping response	2.72E-02	 	 	 	 	GAD2	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	gliosarcoma	Grade 4 gliosarcoma	2.72E-02	 	 	 	 	DDR2	1	
Inflammatory Response, Neurological Disease, Organismal Injury and Abnormalities	inflammation	Inflammation of spinal cord	2.72E-02	 	 	 	 	LRP1	1	
Cancer, Organismal Injury and Abnormalities	advanced gastrointestinal stromal tumor	Metastatic advanced gastrointestinal stromal tumor	2.72E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	monomorphic epitheliotropic intestinal T-cell lymphoma	Monomorphic epitheliotropic intestinal T-cell lymphoma	2.72E-02	 	 	 	 	BCL11B	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	glioblastoma	Newly diagnosed glioblastoma	2.72E-02	 	 	 	 	DDR2	1	
Psychological Disorders	oppositional defiant disorder	Oppositional defiant disorder	2.72E-02	 	 	 	 	GAD2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Ph positive chronic myeloid leukemia in accelerated phase	Ph positive chronic myeloid leukemia in accelerated phase	2.72E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Philadelphia positive chronic myeloid leukemia in blast crisis	Philadelphia positive chronic myeloid leukemia in blast crisis	2.72E-02	 	 	 	 	DDR2	1	
Neurological Disease, Organismal Injury and Abnormalities	photogenic epilepsy	Photogenic epilepsy	2.72E-02	 	 	 	 	GAD2	1	
Infectious Diseases	replication	Replication of Enterovirus	2.72E-02	 	 	 	 	HERPUD1	1	
Cancer, Gastrointestinal Disease, Hepatic System Disease, Organismal Injury and Abnormalities	liver tumor	Liver tumor	2.77E-02	 	 	 	 	NEAT1,TIAM1,H1-5,LRP1B,TAC3,H2BC10,DLX6,FAM155A,SLC7A3,NUPR1,PDZRN3,LRP1,C5orf30,DDR2,HERPUD1	15	
Skeletal and Muscular System Development and Function	mineralization	Mineralization of bone	2.83E-02	 	 	 	 	DLX5,DDR2	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	precursor B-cell acute lymphoblastic leukemia	Precursor B-cell acute lymphoblastic leukemia	2.83E-02	 	 	 	 	BCL11B,DDR2	2	
Cell Death and Survival	apoptosis	Apoptosis of bone marrow-derived macrophages	2.85E-02	 	 	 	 	LRP1	1	
Cellular Movement	cell movement	Cell movement of muscle precursor cells	2.85E-02	 	 	 	 	LRP1	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	BCR-ABL mutation positive Philadelphia-positive chronic myeloid leukemia	Chronic phase BCR-ABL mutation positive Philadelphia-positive chronic myeloid leukemia	2.85E-02	 	 	 	 	DDR2	1	
Amino Acid Metabolism, Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of GABA	2.85E-02	 	 	 	 	GAD2	1	
Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	damage	Damage of pancreas	2.85E-02	 	 	 	 	NUPR1	1	
Cellular Assembly and Organization, Neurological Disease	deposition	Deposition of amyloid-beta plaques	2.85E-02	 	 	 	 	LRP1	1	
Cardiovascular System Development and Function, Cellular Development, Tissue Development	differentiation	Differentiation of vascular endothelial cells	2.85E-02	 	 	 	 	LRP1	1	
Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities	disproportionate dwarfism	Disproportionate dwarfism	2.85E-02	 	 	 	 	DDR2	1	
Cellular Movement	migration	Migration of skin cancer cell lines	2.85E-02	 	 	 	 	TIAM1	1	
Cancer, Organismal Injury and Abnormalities	non-adipogenic soft tissue sarcoma	Non-adipogenic soft tissue sarcoma	2.85E-02	 	 	 	 	DDR2	1	
Cancer, Organismal Injury and Abnormalities, Tumor Morphology	metastatic gastrointestinal stromal tumor	Progressive metastatic gastrointestinal stromal tumor	2.85E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	chronic myeloid leukemia	Refractory chronic myeloid leukemia	2.85E-02	 	 	 	 	DDR2	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	T acute lymphoblastic leukemia	T acute lymphoblastic leukemia	2.91E-02	 	 	 	 	BCL11B,DDR2	2	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	lung adenocarcinoma	Lung adenocarcinoma	2.94E-02	 	 	 	 	DLX6-AS1,H2BC10,DLX6,GAD2,LRP1,LRP1B,DDR2	7	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	release	Release of fatty acid	2.94E-02	 	 	 	 	GAD2,TAC3	2	
Cancer, Organismal Injury and Abnormalities, Respiratory Disease	non-small cell lung cancer	Non-small cell lung carcinoma	2.97E-02	 	 	 	 	DLX6-AS1,H2BC10,DLX6,NUPR1,GAD2,LRP1,LRP1B,DDR2	8	
Developmental Disorder, Embryonic Development, Organismal Development, Tissue Morphology	abnormal morphology	Abnormal morphology of interparietal bone	2.98E-02	 	 	 	 	DLX5	1	
Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function	abnormal morphology	Abnormal morphology of larynx	2.98E-02	 	 	 	 	DLX5	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of alpha-beta T lymphocytes	2.98E-02	 	 	 	 	BCL11B	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	intracranial anaplastic ependymoma	Intracranial anaplastic ependymoma	2.98E-02	 	 	 	 	GAD2	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	intracranial cellular ependymoma	Intracranial cellular ependymoma	2.98E-02	 	 	 	 	GAD2	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	intracranial papillary ependymoma	Intracranial papillary ependymoma	2.98E-02	 	 	 	 	GAD2	1	
Cancer, Neurological Disease, Organismal Injury and Abnormalities	intracranial tanycytic ependymoma	Intracranial tanycytic ependymoma	2.98E-02	 	 	 	 	GAD2	1	
